P260=108.6378,-78.4346,-77.9638,-84.2426,-120.3318,;
P261=105.9973,-80.1866,-81.0330,-86.5036,-120.3318,;
P262=103.3568,-81.9385,-84.1022,-88.7645,-120.3318,;
P263=100.7162,-83.6905,-87.1714,-91.0255,-120.3318,;
P264=98.0757,-85.4424,-90.2406,-93.2864,-120.3318,;
P265=95.4352,-87.1944,-93.3098,-95.5474,-120.3318,;
P266=93.0147,-88.8003,-96.1233,-97.6199,-120.3318,;
P267=90.5942,-90.4063,-98.9367,-99.6924,-120.3318,;
P268=88.6138,-91.7202,-101.2386,-101.3881,-120.3318,;
P269=86.6335,-93.0342,-103.5405,-103.0838,-120.3318,;
P270=84.8731,-94.2021,-105.5866,-104.5911,-120.3318,;
P271=-95.1262,-50.1606,36.5172,-41.9787,-120.3318,;
P272=-95.1256,-48.3724,35.1117,-42.3613,-120.3318,;
P273=-95.1250,-46.5602,33.6207,-42.6825,-120.3318,;
P274=-95.1243,-44.7223,32.0404,-42.9402,-120.3318,;
P275=-95.1237,-42.8566,30.3664,-43.1319,-120.3318,;
P276=-95.1237,-42.6536,32.0235,-44.9919,-120.3289,;
P277=-95.1237,-42.3851,33.5873,-46.8242,-120.3261,;
P278=-95.1237,-42.0534,35.0621,-48.6308,-120.3231,;
P279=-95.1237,-41.6606,36.4517,-50.4133,-120.3201,;
P280=-95.1237,-41.2084,37.7592,-52.1728,-120.3170,;
P281=-95.1237,-41.0715,38.8042,-52.7230,-121.9538,;
P282=-95.1237,-41.0055,39.8669,-53.2199,-123.6030,;
P283=-95.1237,-40.9394,40.9297,-53.7168,-125.2522,;
P284=-95.1237,-41.3013,42.7460,-54.8552,-126.2305,;
P285=-95.1237,-41.6632,44.5624,-55.9935,-127.2088,;
P286=-95.1237,-41.9347,46.2540,-57.0975,-128.1969,;
P287=-95.1237,-42.2061,47.9456,-58.2016,-129.1850,;
P288=-95.1237,-42.0969,48.7796,-58.5128,-130.8728,;
P289=-95.1237,-41.9876,49.6136,-58.8241,-132.5607,;
P290=-95.1237,-41.8891,50.3955,-59.0725,-134.2575,;
P291=-95.1237,-41.7906,51.1774,-59.3209,-135.9543,;
P292=-95.1237,-41.6089,51.8606,-59.5456,-137.6784,;
P293=-95.1237,-41.4272,52.5439,-59.7702,-139.4024,;
P294=-95.1237,-41.2170,53.1573,-59.9452,-141.1579,;
P295=-95.1237,-41.0067,53.7708,-60.1201,-142.9135,;
P296=-95.1237,-40.8150,54.3424,-60.2347,-144.6816,;
P297=-95.1237,-40.6233,54.9141,-60.3493,-146.4497,;
P298=-95.1237,-39.9957,54.6255,-59.7156,-148.8607,;
P299=-95.1237,-39.3681,54.3370,-59.0820,-151.2717,;
P300=-95.1237,-38.2847,53.2036,-57.7355,-154.3194,;
P301=-95.1237,-37.2012,52.0702,-56.3891,-157.3671,;
P302=-95.1237,-36.1178,50.9368,-55.0427,-160.4148,;
P303=-95.1237,-35.0343,49.8034,-53.6962,-163.4625,;
P304=-95.1237,-33.9509,48.6701,-52.3498,-166.5102,;
P305=-95.1237,-32.8674,47.5367,-51.0033,-169.5579,;
P306=-95.1237,-31.7840,46.4033,-49.6569,-172.6056,;
P307=-95.1237,-30.7005,45.2699,-48.3104,-175.6533,;
P308=-95.1237,-29.6171,44.1366,-46.9640,-178.7010,;
P309=-95.1237,-28.5336,43.0032,-45.6175,-181.7487,;
P310=-95.1237,-27.4502,41.8698,-44.2711,-184.7964,;
P311=-95.1237,-26.3667,40.7364,-42.9246,-187.8441,;
P312=-95.1237,-25.2832,39.6030,-41.5782,-190.8918,;
P313=-95.1237,-24.1998,38.4697,-40.2317,-193.9395,;
P314=-95.1237,-23.1163,37.3363,-38.8853,-196.9871,;
P315=-95.1237,-22.0329,36.2029,-37.5388,-200.0348,;
P316=-95.1237,-20.9494,35.0695,-36.1924,-203.0825,;
